帧编号阶段	帧id	帧名	内容
464	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
465	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
466	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
467	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
468	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
469	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
470	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
471	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
472	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
473	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
474	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
475	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
476	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
477	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
478	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
479	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
480	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
481	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
482	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
483	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
484	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
485	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
486	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
487	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
488	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
489	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
490	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
491	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
492	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
493	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
494	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
495	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
496	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
497	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
498	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
499	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
500	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
501	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
502	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
503	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
504	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
505	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
506	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
507	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
508	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
509	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
510	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
511	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
512	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
513	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
514	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
515	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
516	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
517	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
518	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
519	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
520	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
521	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
522	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
523	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
524	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
525	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
526	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
527	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
528	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
529	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
530	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
531	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
532	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
533	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
534	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
535	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
536	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
537	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
538	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
539	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
540	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
541	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
542	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
543	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
544	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
545	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
546	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
547	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
548	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
549	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
550	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
551	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
552	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
553	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
554	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
555	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
556	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
557	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
558	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
559	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
560	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
561	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
562	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
563	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
564	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
565	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
566	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
567	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
568	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第1包.
569	多帧传输	TP_DATA	多帧传输数据帧	当前数据包位多帧传输第2包.
570	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输结束帧--已传输总字节数：512,数据包数:255.传输包的PGN为0x001100.
571	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
572	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
573	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
574	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
575	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
576	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
577	充电阶段	CCS	充电桩充电状态报文	电压输出为452V.电流输出为0A.目前已经充电0分钟.当前充电状态--正在充电...
578	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
579	充电阶段	BST	BMS中止充电报文	BMS中止充电原因--无;充电桩中止充电的故障原因--无.BMS中止充电错误原因--无.
580	充电阶段	BCL	BMS充电需求报文	BMS需求电压:450V.BMS需求电流:-50A.充电模式--恒流充电...
581	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
582	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
583	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
584	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
585	充电阶段	BSM	蓄电池状态信息报文	当前最大单体电池电压编号：0x 1.最高电池温度编号:0x 1,其温度为:35摄氏度.最低电池温度编号:0x 2,其温度为:33摄氏度.当前动力蓄电池状态--允许充电。
586	充电结束阶段	BSD	BMS统计报文	当前荷电状态(SOC)6%.单体电池最低电压5V.单体电池最高电压20V.动力蓄电池最低温度0摄氏度.动力蓄电池最高温度50摄氏度.
587	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
588	多帧传输	TP_START	多帧传输请求帧	多帧传输总字节数：9,数据包数:2.传输包的PGN为0x00 00.
589	充电阶段	CST	充电桩中止充电报文	充电桩中止充电原因--人工中止;BMS充电中止的故障原因--无.充电桩中止充电错误原因--无.
590	多帧传输	TP_REPLY(TP_END)	多帧传输回复帧	多帧传输开始回复帧--剩余数据包数：2.多帧传输下一数据包编号为:1.传输包的PGN为0x001100.
591	充电阶段	CSD	充电桩统计报文	充电所用时间:0分钟.输出能量0Kw。h.
592	充电结束阶段	BSD	BMS统计报文	当前荷电状态(SOC)6%.单体电池最低电压5V.单体电池最高电压20V.动力蓄电池最低温度0摄氏度.动力蓄电池最高温度50摄氏度.
593	充电阶段	CSD	充电桩统计报文	充电所用时间:0分钟.输出能量0Kw。h.
594	充电结束阶段	BSD	BMS统计报文	当前荷电状态(SOC)6%.单体电池最低电压5V.单体电池最高电压20V.动力蓄电池最低温度0摄氏度.动力蓄电池最高温度50摄氏度.
